요즘,O,에,O,는,O,남편,B-KEY,이,O,요,O,.,O,손주,B-KEY,들,O,이,O,태어나,O,고,O,제,O,2,O,의,O,인생,O,을,O,시작,O,한,O,느낌,O,을,O,받,O,아서,O,대단,O,하,O,더라구,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제,O,가,O,바쁘,O,어서,O,아이,O,들,O,을,O,챙기,O,지,O,못,O,한,O,다는,O,생각,O,이,O,들,O,때,O,면,O,미안,O,하,O,아서,O,눈물,O,이,O,나,O,오,O,기,O,도,O,했,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사람,B-KEY,은,O,결국,O,늙,B-KEY,고,O,지치,B-KEY,ㄴ다는,O,점,O,이,O,요,O,.,O,아쉽,O,지만,O,지나가,O,는,O,시간,O,을,O,잡,O,을,O,방법,O,은,O,없,O,더군,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제,O,가정,B-KEY,을,O,꾸리,O,면서,O,엄마,B-KEY,로서,O,리더,B-KEY,역할,O,을,O,맡,O,았,O,죠,O,.,O,이,O,가족,O,을,O,지키,O,겠,O,다는,O,책임감,B-KEY,이,O,컸,O,었,O,어요,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학교,B-KEY,동창,B-KEY,들,O,의,O,근황,B-KEY,이,O,궁금,O,해요,O,.,O,잠시,O,만났,O,던,O,인연,O,들,O,이,O,지만,O,잘,O,살,O,고,O,있,O,을지,O,알,O,고,O,싶,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부모,B-KEY,님,O,장례식,B-KEY,에서,O,잠시,O,잊,O,었,O,던,O,지인,B-KEY,들,O,을,O,많이,O,만나,O,았,O,어요,O,.,O,다,O,들,O,진심,O,으로,O,위로,B-KEY,해,O,주,O,어서,O,고마웠,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어머니,B-KEY,께서,O,돌아가,B-KEY,시ㄹ,O,때,O,까지,O,정말,O,많이,O,아프,O,시,O,었,O,고,O,힘들,O,어,O,하,O,시,O,었,O,어요,O,.,O,자식,O,으로써,O,그,O,걸,O,지켜,O,만,O,보,O,고,O,아무,O,것,O,도,O,못,O,해,O,드리,O,ㄴ,O,게,O,아픈,B-KEY,이별,B-KEY,로,O,남,O,아,O,있,O,어요,O,.,O
공부,B-KEY,를,O,열심히,O,하,O,여,O,보,O,고,O,싶,O,어요,O,.,O,저,O,는,O,진심,O,으로,O,존경,B-KEY,하,O,는,O,스승,B-KEY,같,O,은,O,존재,O,가,O,안,O,계신,O,게,O,가끔,O,아쉽,O,더라구요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평소,O,정,B-KEY,이,O,많,O,은,O,성격,B-KEY,이,O,라,O,이유,O,없이,O,멀,O,어지,O,는,O,관계,O,가,O,아쉽,O,고,O,상처,B-KEY,가,O,되,O,더라,O,구요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부모,B-KEY,님,O,이,O,죠,O,.,O,제,O,가,O,부모,B-KEY,가,O,되,O,기,O,전,O,에,O,는,O,그,O,분,O,의,O,마음,B-KEY,을,O,완전,O,히,O,이해,B-KEY,하,O,기,O,어려웠,B-KEY,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
