엄마,B-KEY,한테,O,사춘기,B-KEY,때,O,괜히,O,짜증,B-KEY,내,O,고,O,문,O,콱,O,닫,O,았,O,던,O,거,O,지금,O,도,O,가끔,O,그,O,장면,O,이,O,떠올라,O,요,O,미안,O,했,O,죠,O,정말,O,.,O,,,,,,,,,,,,,,,,,,,,,,
수학,B-KEY,여행,I-KEY,때,O,처음,O,으로,O,용돈,B-KEY,을,O,스스로,O,관리,O,했,O,"는데,",O,다,O,써,O,버리,O,고,O,후회,O,하,O,면서,O,이제,O,부터,O,는,O,내,O,가,O,알,O,아서,O,살,O,아야,O,하는,O,거구나,O,싶,O,었,O,어요.,O,,,,,,,,,,,,
엄마,B-KEY,가,O,해주,O,시ㄹ,O,간식,B-KEY,뭐,O,이,O,ㄹ까,O,항상,O,궁금,O,했,O,어요,O,.,O,달달,O,한,O,꿀떡,B-KEY,이나,O,군고구마,B-KEY,냄새,O,생각,O,하,O,면서,O,걸,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
부엌,B-KEY,에서,O,된장,B-KEY,찌개,B-KEY,끓,O,는,O,냄새,O,랑,O,아버지,O,면도기,B-KEY,소리,O,요,O,.,O,창문,O,너머,O,로,O,보이,O,던,O,이슬,O,맺힌,O,논,B-KEY,도,O,아직,O,눈,O,에,O,선,O,해요,O,.,O,,,,,,,,,,,,,,,,,,,,
라디오,B-KEY,에서,O,흘러나오,O,던,O,패티,O,김,O,노래,B-KEY,요,O,.,O,특히,O,그대,O,없이,O,는,O,못,O,살,O,아,O,들,O,으면,O,그,O,시절,O,감정,O,이,O,고스란히,O,돌아오,O,아,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,
고등학교,B-KEY,때,O,우리,O,마을,O,에,O,큰,O,홍수,B-KEY,가,O,나,O,서,O,친구,O,들,O,집,B-KEY,이,O,물,B-KEY,에,O,잠기,O,ㄴ,O,걸,O,보,O,면서,O,",",O,공부,O,보다,O,삶,O,이,O,더,O,크,O,고,O,무거운,O,일,O,이,O,라는,O,걸,O,깨달,O,았,O,어요,O,.,O
결혼,B-KEY,하,O,고,O,아이,B-KEY,키우,O,면서,O,작,O,은,O,일,O,에,O,도,O,감사,B-KEY,하,O,는,O,마음,O,이,O,가장,O,큰,O,행복,O,이,O,라는,O,걸,O,알,O,게,O,됐,O,어요,O,.,O,하루,O,하루,O,가,O,소중,O,하,O,더라고,O,요,O,.,O,,,,,,
도시락,B-KEY,싸,O,서,O,다니,O,던,O,시절,O,이,O,라,O,엄마,B-KEY,가,O,매일,O,정성,O,들여,O,싸,O,주,O,신,O,김치,B-KEY,랑,O,달걀,B-KEY,이,O,랑,O,참,O,맛있,O,었,O,죠,O,.,O,친구,O,들,O,이,O,부러워,O,했,O,어요,O,.,O,,,,,,,,,,
한,O,번,O,은,O,반,O,에서,O,발표,B-KEY,잘,O,해서,O,칭찬,B-KEY,받,O,았,O,는데,O,",",O,그,O,날,O,하루,O,종일,O,기분,O,이,O,좋,O,아서,O,집,O,에,O,가,O,서도,O,웃음,O,이,O,멈추,O,지,O,않,O,았,O,어요,O,.,O,,,,,,,,,,
비,B-KEY,오는,O,날,O,운동장,B-KEY,에서,O,미끄러지,O,어,O,넘어졌,B-KEY,는데,O,",",O,친구,B-KEY,가,O,달려오,O,아,O,괜찮,O,냐고,O,걱정,B-KEY,해주,O,었,O,던,O,게,O,아직,O,도,O,마음,O,따뜻,O,해지,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,
