가족,B-KEY,여행,B-KEY,으로,O,설악산,O,을,O,갔,O,는데,O,힘겹,O,게,O,올라,O,간,O,정상,B-KEY,에서,O,먹,O,은,O,김밥,B-KEY,맛,O,이,O,정말,O,특별,O,했,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만두,B-KEY,를,O,좋아,O,하,O,아서,O,추억,O,이,O,참,O,많,O,은데,O,어린,B-KEY,시절,I-KEY,부터,O,많이,O,먹,O,었,O,으니,O,냄새,B-KEY,만,O,맡,O,아도,O,기억,O,이,O,나,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부모,B-KEY,님,O,이,O,모두,O,돌아가,O,시,O,고,O,첫,O,겨울,B-KEY,에,O,세상,O,이,O,너무,O,춥,O,게,O,느껴,O,지,O,어서,O,포장마차,B-KEY,국수,B-KEY,를,O,이유,O,없이,O,세,O,그릇,O,이나,O,먹,O,었,O,어요,O,.,O,따뜻,O,한,O,국물,O,을,O,아무리,O,먹,O,어도,O,춥,O,더라구요,O,.,O
파프리카,B-KEY,요,O,.,O,어렸,O,을,O,때,O,는,O,채소,B-KEY,라,O,싫,O,어,O,했,O,지만,O,이제,O,는,O,싱싱,O,한,O,맛,O,이,O,좋,O,네,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자극,O,적,O,인,O,음식,O,을,O,먹,O,고,O,탈,O,이,O,나,O,거나,O,따뜻,B-KEY,한,O,국물,B-KEY,위주,O,로,O,식사,B-KEY,챙기,O,는,O,모습,O,에서,O,크,O,게,O,느껴,O,지,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
나이,O,먹,O,을,O,수록,O,편식,B-KEY,이,O,줄,O,어서,O,이,O,건,O,없,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어머니,B-KEY,집,B-KEY,밥,I-KEY,이,O,죠,O,.,O,제,O,가,O,아무리,O,요리,O,해도,O,다르,O,더라구요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어리,O,었,O,을,O,적,O,야채,B-KEY,편식,B-KEY,을,O,많이,O,했,O,어요,O,.,O,음식,O,에,O,초록색,B-KEY,만,O,보이,O,면,O,다,O,골라,O,놓,O,고,O,그랬,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,이,O,랑,O,은,O,설렇,O,었,O,고,O,아이,B-KEY,들,O,과,O,는,O,애틋,O,했,O,어요,O,.,O,더,O,따뜻,O,하,O,고,O,맛있,O,는,O,걸,O,많이,O,해주,O,고,O,싶,O,더라구요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
제,O,20,B-KEY,살,O,생일,B-KEY,날,O,아버지,B-KEY,께서,O,끓여,O,주,O,시,O,었,O,던,O,미역,B-KEY,국,I-KEY,이,O,요,O,.,O,아버지,O,께서,O,요리,O,하,O,시,O,는,O,모습,O,을,O,그,O,때,O,처음,O,봤,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
