응,O,",",O,어리,O,다,O,적,O,에,O,나무,B-KEY,로,O,되,O,어,O,ㄴ,O,인형,B-KEY,하나,O,가,O,있,O,었,O,는데,O,",",O,외할아버지,B-KEY,가,O,직접,O,깎,O,아,O,주,O,시,O,ㄴ,O,거,O,라,O,아주,O,아끼,O,면서,O,놀,O,았,O,지,O,.,O,옷,O,도,O,헝겊,O,으로,O,만들,O,어,O,입히,O,고,O,말,O,도,O,시키,O,고,O,그랬,O,어,O,.,O
응,O,",",O,여름,B-KEY,이,O,면,O,마당,B-KEY,에,O,물,O,받,O,아,O,놓,O,고,O,오빠,B-KEY,랑,O,물,B-KEY,장난,I-KEY,치,O,던,O,게,O,제일,O,재밌,O,었,O,어,O,.,O,서,O,로,O,물,O,끼,O,얹,O,고,O,웃,O,다,O,보,O,면,O,해,O,가,O,금세,O,지,O,더,O,라고,O,.,O,,,,,,,,,,,,,,,,,,
아버지,B-KEY,가,O,일요일,O,마다,O,손수,O,자전거,B-KEY,태우,O,어,O,주,O,시,O,었,O,는데,O,",",O,동네,O,뚝방길,O,따라,O,바람,O,쐬,O,던,O,그,O,시간,O,이,O,참,O,좋,O,았,O,어,O,.,O,어머니,B-KEY,는,O,집,O,에,O,돌아오,O,면,O,수박,B-KEY,자르,O,어,O,주,O,시,O,곤,O,했,O,지,O,.,O,,,,,,,,,,,,,,,,
그땐,O,소년,B-KEY,중앙,O,이,O,참,O,인기,O,였,O,"는데,",O,오빠,O,가,O,사,O,오,O,면,O,내,O,가,O,몰래,O,먼저,O,보,O,곤,O,했,O,지.,O,만화,B-KEY,보다,O,도,O,그림,B-KEY,많,O,은,O,이야기,B-KEY,읽,O,는,O,게,O,참,O,재미있,O,었,O,어.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
별,O,이,O,빛나,O,는,O,밤,O,에,O,를,O,참,O,좋,O,아,O,했,O,어,O,.,O,밤,B-KEY,마다,O,라디오,B-KEY,켜,O,놓,O,고,O,사연,B-KEY,들,O,으면서,O,상상,O,도,O,하,O,고,O,",",O,노래,O,따라,O,부르,O,기,O,도,O,했,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해,O,지,O,고,O,나,O,서,O,부엌,B-KEY,에,O,앉,O,아,O,어머니,B-KEY,랑,O,반찬,B-KEY,준비,O,하,O,던,O,시간,O,이,O,좋,O,았,O,어,O,.,O,쓱쓱,O,썰,O,면서,O,이런저런,O,얘기,O,나누,O,는,O,게,O,참,O,따뜻,O,했,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나,O,는,O,글씨,B-KEY,예쁘,O,게,O,쓰,O,는,O,걸,O,좋아,O,하,O,아서,O,일기장,B-KEY,꾸미,O,는,O,게,O,취미,O,였,O,어,O,.,O,색펜,B-KEY,으로,O,제목,O,쓰,O,고,O,",",O,꽃,O,도,O,그리,O,고,O,",",O,하루하루,O,정성,O,들,O,였,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남진,O,노래,B-KEY,를,O,참,O,좋,O,아,O,했,O,지,O,.,O,특히,O,가슴,O,아프,O,게,O,들,O,으면,O,괜히,O,마음,O,이,O,찡해져서,O,",",O,라디오,B-KEY,에서,O,나오,O,면,O,꼭,O,따라,O,불렀,O,어,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고등학교,B-KEY,때,O,운동회,B-KEY,에서,O,줄넘기,B-KEY,대표,O,로,O,나간,O,적,O,이,O,있,O,어,O,.,O,그,O,날,O,친구,O,들,O,이,O,응원,O,해,O,줘서,O,더,O,열심히,O,뛰,O,었,O,는데,O,",",O,덕분,O,에,O,우리,O,반,O,이,O,우승,B-KEY,했,O,었,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
고전,B-KEY,소설,B-KEY,을,O,좋아,O,했,O,어,O,.,O,특히,O,토지,O,를,O,읽,O,으며,O,우리,O,농촌,B-KEY,풍경,O,과,O,사람,O,들,O,이야기,O,에,O,마음,O,이,O,많이,O,갔,O,던,O,기억,O,이,O,나,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
