남편,B-KEY,과,O,는,O,매주,O,일요일,O,아침,B-KEY,에,O,동네,B-KEY,산책,B-KEY,을,O,했,O,어,O,.,O,함께,O,걷,O,다,O,보,O,면,O,이런저런,O,이야기,O,도,O,나누,O,고,O,마음,O,이,O,참,O,편안,O,해졌,O,지,O,.,O,,,,,,,,,,,,,,,,
마을,O,노인회,B-KEY,모임,O,에,O,나가,O,서,O,친구,B-KEY,들,O,과,O,차,B-KEY,마시,O,며,O,옛날,O,이야기,B-KEY,나누,O,는,O,걸,O,좋아했,O,어,O,.,O,서로,O,도움,O,도,O,주,O,고,O,받,O,으면서,O,정,O,이,O,깊,O,었,O,지,O,.,O,,,,,,,,,,
결혼,B-KEY,30,O,주년,O,때,O,가족,B-KEY,다,O,모,O,여,O,제주도,B-KEY,로,O,여행,B-KEY,갔,O,던,O,게,O,가장,O,기억,O,에,O,남,O,아,O,.,O,손주,B-KEY,들,O,뛰,O,노,O,는,O,모습,O,보,O,며,O,참,O,행복,O,했,O,지,O,.,O,,,,,,,,,,
젊,O,었,O,을,O,때,O,동네,B-KEY,친구,B-KEY,들,O,과,O,춘천,O,호반,O,으로,O,간,O,소풍,B-KEY,이,O,기억,O,에,O,남,O,아,O,.,O,배,B-KEY,타,O,고,O,호수,B-KEY,풍경,O,보,O,며,O,웃,O,고,O,떠들,O,던,O,그,O,날,O,이,O,참,O,즐거웠,O,지,O,.,O,,
여행,B-KEY,갈,O,때,O,면,O,늘,O,손수,O,뜬,O,목도리,B-KEY,를,O,꼭,O,챙겼,O,어,O,.,O,날씨,O,추우,O,면,O,딸,O,이나,O,손주,O,들,O,한테,O,둘러주,O,려고,O,말,O,이지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
은,B-KEY,퇴,I-KEY,후,O,에,O,는,O,꽃,B-KEY,꽂이,I-KEY,를,O,시작,O,했,O,어,O,.,O,집,O,마당,O,에,O,핀,O,꽃,O,들,O,로,O,예쁘,O,게,O,장식,O,하,O,면,O,마음,O,도,O,한결,O,밝,O,아,O,지,O,더라,O,.,O,,,,,,,,,,,,
어렸을,O,때,O,는,O,라디오,B-KEY,에서,O,흘러나,O,오,O,던,O,트로트,B-KEY,가,O,많,O,았,O,는데,O,",",O,남진,O,씨,O,노래,O,가슴,O,아프,O,게,O,가,O,특히,O,기억,O,에,O,남,O,아,O,자주,O,따라,O,불렀,O,어,O,.,O,,,,,,,,,,,,,,
남진,O,씨,O,를,O,가장,O,좋아,O,했,O,지,O,.,O,노래,B-KEY,부를,O,때,O,감성,B-KEY,이,O,깊,O,어서,O,마음,O,에,O,쏙,O,들,O,었,O,거든,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
젊,O,었,O,을,O,때,O,동네,B-KEY,에서,O,열,O,리ㄴ,O,가요제,B-KEY,에,O,친구,B-KEY,들,O,이랑,O,간,O,게,O,첫,O,공연,B-KEY,이,O,었,O,어,O,.,O,무대,O,위,O,가수,O,가,O,노래,O,부르,O,는,O,모습,O,이,O,아직,O,도,O,생생,O,해,O,.,O,,,,,,
남편,B-KEY,과,O,첫,O,데이트,B-KEY,때,O,들,O,었,O,던,O,노래,B-KEY,가,O,라디오,B-KEY,에서,O,흘러,O,나오,O,면,O,그,O,때,O,설레임,O,이,O,다시,O,생각,O,나,O,곤,O,했,O,어,O,.,O,늘,O,마음,O,한켠,O,에,O,남,O,아,O,있,O,는,O,기억,O,이,O,지,O,.,O
