딸,B-KEY,이,O,어렸,B-KEY,을,O,때,O,모습,O,과,O,너무,O,닮,B-KEY,아서,O,놀랐,O,어요,O,.,O,딸,O,이,O,딸,O,을,O,낳,O,았,O,다는,O,느낌,O,에,O,신기,O,했,O,고,O,정말,O,사랑,O,스럽,O,었,O,어요,O,.,O,,,,,,,,,,,,,,
남편,O,이,O,랑,O,결혼,B-KEY,준비,B-KEY,하,O,면서,O,파혼,B-KEY,을,O,논할,O,정도,O,로,O,크,O,게,O,싸우,O,었,O,다가,O,화해,O,한,O,기억,O,이,O,나,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B-KEY,번째,B-KEY,로,O,이사,B-KEY,했,O,던,O,집,B-KEY,에서,O,아이,O,들,O,이,O,태어나,O,고,O,초등학교,O,까지,O,키웠,O,어서,O,애착,O,이,O,가,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지금,O,집,B-KEY,은,O,대출,O,없이,O,남편,O,과,O,저,O,의,O,노년,B-KEY,생활,B-KEY,을,O,계획,O,하고,O,이사,B-KEY,한,O,집,O,이에요,O,.,O,내,O,인생,O,마지막,O,집,O,일,O,수도,O,있다고,O,생각,O,해서,O,이사,O,할,O,때,O,많이,O,울,O,었어요,O,.,O,,,,,,
아이,B-KEY,들,O,이,O,초등학교,O,등교,B-KEY,하는,O,모습,O,을,O,아파트,O,발코니,B-KEY,에서,O,보,O,았,O,었,O,어요,O,.,O,지금,O,도,O,작,O,은,O,모습,O,들,O,이,O,기억,O,나,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,과,O,아침,B-KEY,산책,B-KEY,을,O,나가,O,았,O,어요,O,.,O,건강,O,때문,O,에,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
딸,O,이,O,태어나,O,고,O,아이,B-KEY,사진,B-KEY,을,O,위해,O,디지털,O,카메라,B-KEY,를,O,샀,O,었,O,는데,O,손주,O,가,O,깨뜨리,O,었,O,죠,O,.,O,놀라,O,아서,O,울,O,던,O,모습,O,도,O,귀여워서,O,그냥,O,넘어가,O,았,O,네요,O,.,O,,,,,,,,,,,,
남편,O,과,O,신혼,B-KEY,여행,B-KEY,으로,O,떠나,O,ㄴ,O,하와이,O,가,O,첫,O,해외,B-KEY,여행,B-KEY,이,O,에요,O,.,O,비행기,B-KEY,멀미,B-KEY,가,O,너무,O,심하,O,어서,O,고생,O,하,O,ㄴ,O,기억,O,이,O,있,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
아이,B-KEY,들,O,사춘기,B-KEY,때,O,너무,O,지쳐서,O,남편,O,에게,O,부탁,O,하고,O,혼자,B-KEY,바다,B-KEY,를,O,내려갔,O,는데,O,가,O,서도,O,가족,O,생각,O,만,O,나,O,서,O,금방,O,올라왔,O,어요,O,가족,O,을,O,내,O,가,O,얼마나,O,소중하,O,게,O,생각,O,하,O,는지,O,깨달,O,았,O,죠,O
벚꽃,B-KEY,보러,O,가면,O,항상,O,벚꽃,O,엔딩,O,을,O,틀,O,고,O,가,O,는데,O,정말,O,봄,B-KEY,을,O,가득,O,느끼,O,는,O,기분,O,이,O,라,O,항상,O,좋,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
