딸,B-KEY,이,O,교사,O,임용,B-KEY,시험,B-KEY,붙,O,고,O,엄마,O,덕분,O,이,O,라,O,했,O,을,O,때,O,가슴,O,이,O,벅찼,O,어요,O,.,O,,,,,,,,,,
한,O,달,O,에,O,한,O,번,O,씩,O,전화,B-KEY,돌리,O,며,O,별,O,일,O,없,O,지,O,?,O,묻,O,는,O,게,O,제,O,방식,O,이,O,에요,O,.,O,,,,
첫,O,이사,B-KEY,때,O,전세금,B-KEY,못,O,채우,O,었,O,는데,O,",",O,남편,B-KEY,친구,I-KEY,가,O,보태,O,줘서,O,지금,O,도,O,은인,O,처럼,O,여겨,O,요,O,.,O,,,,,,
아버지,B-KEY,가,O,돌아가,O,시,O,기,O,전,O,까지,O,매달,O,손편지,B-KEY,를,O,보내,O,주,O,시,O,었,O,어요,O,.,O,지금,O,도,O,꺼내,O,읽,O,어요,O,.,O,,,,
경주,O,에서,O,가족,B-KEY,이,O,랑,O,노란,O,은행,B-KEY,잎,I-KEY,길,O,걷,O,다가,O,다,O,같이,O,찍,O,은,O,사진,B-KEY,이,O,아직,O,액자,B-KEY,에,O,있,O,어요,O,.,O,,
다른,B-KEY,사람,I-KEY,탓,B-KEY,하,O,기,O,전,O,에,O,내,O,가,O,들,O,은,O,말,O,부터,O,돌,O,아,O,보,O,라는,O,"말,",O,가슴,O,에,O,새겼,O,어요.,O,,,,
작년,O,설,B-KEY,에,O,손주,B-KEY,들,O,모두,O,와서,O,방,O,이,O,꽉,O,찼,O,을,O,"때,",O,웃음,B-KEY,소리,O,가,O,집,O,을,O,채웠,O,죠.,O,,,,,,,,
탁구,B-KEY,배우,O,러,O,갔,O,던,O,동네,B-KEY,센터,I-KEY,에서,O,할머니,B-KEY,랑,O,짝,O,이,O,돼,O,서,O,매주,O,웃,O,으며,O,운동,B-KEY,했,O,죠,O,.,O,,,,,,
이웃,B-KEY,에게,O,큰,O,말,B-KEY,실수,I-KEY,듣,O,고,O,며칠,O,울,O,었,O,는데,O,",",O,시간,O,이,O,지나,O,고,O,손주,B-KEY,랑,O,산책,B-KEY,하,O,며,O,풀렸,O,어요,O,.,O
아래,B-KEY,집,I-KEY,할머니,I-KEY,넘어지,O,시,O,어을,O,때,O,밤,O,늦,O,게,O,들쳐,O,업,O,고,O,병원,B-KEY,데리,O,어,O,가,O,았,O,던,O,게,O,생각,O,나,O,요,O,.,O
