딸,B-KEY,수능,B-KEY,이틀,O,전,O,날,O,.,O,수능,B-KEY,이,O,끝,O,나,O,고,O,인생,O,에,O,큰,O,변화,O,를,O,겪,O,을,O,딸,O,에게,O,어떤,O,말,O,을,O,해주,O,는,O,게,O,좋,O,을까,O,정말,O,많이,O,고민,O,했,O,던,O,것,O,같,O,아요,O,.,O,
첫눈,B-KEY,을,O,맞,O,을,O,때,O,면,O,소원,B-KEY,을,O,빌,O,었,O,는데,O,대부분,O,이,O,뤄,O,지,O,어서,O,특별,O,하,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아들,B-KEY,이,O,학교,O,가정,O,의,O,달,O,기념,O,으로,O,직접,O,털,B-KEY,장갑,B-KEY,을,O,짜,O,서,O,줬,O,는데,O,정말,O,행복,O,했,O,던,O,선물,O,이,O,에요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
제,B-KEY,가,O,어렸,O,을,O,때,O,처음,O,으로,O,만든,O,눈사람,B-KEY,이,O,다음,O,날,O,녹,O,아서,O,많이,O,울,B-KEY,었,O,던,O,기억,O,이,O,있는데,O,우리,O,딸,O,",",O,아들,O,도,O,똑같이,O,하,O,는,O,걸,O,봤,O,던,O,기억,O,이,O,생각,,나,O,요,O,.
아이,B-KEY,들,O,이,O,어렸,O,을,O,때,O,겨울,B-KEY,에,O,는,O,밖,O,에서,O,추울,O,때,O,마다,O,제,O,패딩,B-KEY,품,O,으로,O,들어,O,왔,O,는데,O,그,O,때,O,마다,O,정말,O,따뜻,O,했,O,죠,O,.,O,,,,,,,,,,,,,,,,,
딸,O,은,O,엄마,O,먼저,O,",",O,아들,O,은,O,아빠,O,먼저,O,했,O,는데,O,남편,B-KEY,이,O,랑,O,달력,B-KEY,에,O,기록,O,해,O,놓,O,고,O,",",O,케이크,B-KEY,사,O,고,O,",",O,기념일,O,처럼,O,기뻐,O,했,O,었,O,어요,O,.,O,,,,,,,,,,,
어머니,B-KEY,병원,B-KEY,들어가시,O,기,O,전,O,마지막,O,으로,O,제주도,O,여행,B-KEY,을,O,갔,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이,B-KEY,들,O,태어나,B-KEY,았,O,을,O,때,O,가,O,가장,O,기억,O,에,O,남,O,죠,O,.,O,마음,O,한,O,구석,O,이,O,가득,O,채워지,O,는,O,느낌,O,이,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,
편하,O,게,O,데이트,B-KEY,하,O,다가,O,미래,O,계획,O,이,O,나,O,결혼,B-KEY,계획,B-KEY,을,O,의논,O,하,O,ㄹ,O,때,O,면,O,항상,O,진지,O,했,O,던,O,것,O,같,O,아요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,
작년,O,이,O,네요,O,.,O,서로,O,몸,O,이,O,안,O,좋,O,거나,O,일,B-KEY,이,O,바빠서,B-KEY,자주,O,못,O,만나,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
