제,O,가,O,화나,B-KEY,면,O,남편,B-KEY,이,O,만두,B-KEY,를,O,사,O,오,O,는데,O,서로,O,나눠,O,먹,O,으면서,O,자연,O,스럽,O,게,O,화해,B-KEY,하,O,더라,O,구요,O,.,O,,,,,,,,
가족,B-KEY,모두,O,가,O,모이,O,어,O,따뜻,O,한,O,집,B-KEY,밥,I-KEY,을,O,먹,O,으면서,O,사랑,O,한다고,O,말,O,해,O,주,O,고,O,싶,O,어요,O,.,O,,,,,,,,,,,,
결혼식,B-KEY,전날,O,진지하게,O,조언,B-KEY,해,O,주,O,시던,O,게,O,기억,O,나,O,요,O,.,O,그,O,조언,O,들,O,을,O,양분,O,삼,O,아,O,결혼,B-KEY,생활,B-KEY,을,O,열심히,O,이겨,O,냈,O,어요,O,.,O
전,,외동,B-KEY,이,O,라,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아무래도,O,사춘기,B-KEY,전,O,까지,O,죠,O,.,O,저,O,에게,O,모든,O,걸,O,말해주,O,는,O,아이,B-KEY,들,O,덕분,O,에,O,매일,O,새로운,O,경험,O,을,O,할,O,수,O,있,O,었,O,어요,O,.,O,,
아이,B-KEY,들,O,의,O,초등학교,B-KEY,입학,B-KEY,식,O,이,O,요,O,.,O,가족,B-KEY,이,O,라는,O,단어,B-KEY,를,O,체감,O,하,O,게,O,만들,O,어,O,주,O,는,O,일,O,이,O,었,O,어요,O,.,O,,
우리,,의,O,가족,B-KEY,은,O,미래,B-KEY,에,O,대한,O,불투명,B-KEY,성,O,이,O,다툼,B-KEY,의,O,원인,O,이,O,되,O,면,O,오히려,O,발전,B-KEY,의,O,계기,O,가,O,되,O,는,O,것,O,같,O,아요,O,.,O
결혼식,B-KEY,",",O,돌잔치,B-KEY,",",O,장례식,B-KEY,까지,O,모두,O,함께,B-KEY,한,O,친구,B-KEY,가,O,있죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
저,O,는,O,사람,O,에게,O,일관성,B-KEY,이,O,중요,O,하다고,O,생각해서,O,감정,B-KEY,적,O,인,O,친구,O,와,O,자주,O,다퉜,B-KEY,어요,O,.,O,방과후,B-KEY,에,O,떡볶이,B-KEY,먹,O,고,O,풀,O,었,O,죠,O,.,O
여유,B-KEY,를,O,챙기,O,는,O,것,O,이,O,중요,O,하,O,다는,O,점,O,이요,O,.,O,친구,B-KEY,를,O,만나,O,면,O,휴식,B-KEY,에,O,집중,B-KEY,하,O,는,O,제,O,모습,O,이,O,보여,O,요,O,.,O
