울음,B-KEY,소리,B-KEY,듣,O,고,O,떨리,O,는,O,손,B-KEY,으로,O,안,B-KEY,았,I-KEY,"는데,",O,세상,O,이,O,달라,O,보였,O,어요.,O,,,,,,,,,,
김장,B-KEY,날,O,",",O,이웃,B-KEY,집,O,아주머니,O,가,O,갓,O,담근,O,총각,B-KEY,김치,I-KEY,한,O,통,O,가져다줬,O,죠,O,.,O,,,,,,,,,,
손녀,B-KEY,가,O,할머니,O,사랑,B-KEY,해,O,라,O,며,O,손수,O,쓴,O,편지,B-KEY,건넸,O,을,O,때,O,울,O,었,O,어요,O,.,O,,,,,,,,
서점,B-KEY,에서,O,일,O,할,O,때,O,점심,B-KEY,같이,O,먹,O,던,O,언니,B-KEY,",",O,지금,O,도,O,책,O,읽,O,을,O,때,O,생각,O,나,O,요,O,.,O
고,O,3,O,담임,B-KEY,선생님,B-KEY,이,O,졸업식,B-KEY,날,O,이름,B-KEY,하나,O,하나,O,불러,O,주시던,O,모습,O,이,O,선,O,해요,O,.,O,,,,,,,,
며느리,B-KEY,와,O,말,O,다툰,O,후,O,김치찌개,B-KEY,차려,O,주,O,고,O,미안,B-KEY,하,O,단,O,쪽지,B-KEY,얹,O,어,O,줬,O,더니,O,웃,O,더라고,O,요,O,.,O
아버지,B-KEY,돌아가,B-KEY,시던,O,날,O,",",O,친구,B-KEY,가,O,조용히,O,손,B-KEY,잡,O,아,O,준,O,그,O,느낌,O,이,O,아직,O,도,O,남,O,아요,O,.,O,,
시어머니,B-KEY,가,O,말,B-KEY,은,O,꺼내,O,기,O,전,O,까지,O,돌덩이,B-KEY,라,O,던,O,말,O,",",O,아직,O,도,O,곱씹,O,어요,O,.,O,,,,,,
이웃,B-KEY,생일,B-KEY,깜빡,O,하,O,고,O,못,O,챙기,O,었,O,"다가,",O,다음,O,해,O,부터,O,캘린더,B-KEY,에,O,꼭,O,써,O,두,O,죠.,O,,,,,,
어머니,B-KEY,늘,O,남,B-KEY,의,O,집,B-KEY,앞,O,에서,O,는,O,신발,B-KEY,반듯이,O,벗,O,어라,O,하,O,시,O,었,O,어요,O,.,O,,,,,,,,
