친구,B-KEY,들,O,과,O,모임,B-KEY,에서,O,트로트,B-KEY,노래,B-KEY,따라,O,부를,O,때,O,면,O,스트레스,O,가,O,다,O,풀리,O,고,O,온,O,마음,O,이,O,환해,O,졌,O,지,O,.,O,웃음,O,가득,O,한,O,시간,O,이,O,었,O,어,O,.,O,,,,,,,,,,,,,,,,
나,O,는,O,가사,B-KEY,에,O,더,O,집중,B-KEY,했,O,어,O,.,O,그,O,속,O,에,O,담긴,O,이야기,B-KEY,와,O,감정,B-KEY,이,O,마음,O,에,O,깊,O,게,O,와,O,닿,O,았,O,거든,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
젊,O,었,O,을,O,때,O,집,B-KEY,에서,O,간단,O,히,O,아코디언,B-KEY,을,O,배웠,O,"는데,",O,손가락,O,이,O,굳,O,어져서,O,오래,O,못,O,했,O,지만,O,그,O,때,O,가,O,참,O,즐거웠,O,지.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
어리ㄹ,O,때,O,피아노,B-KEY,를,O,배우,O,고,O,싶,O,었,O,는데,O,집,B-KEY,형편,B-KEY,이,O,어렵,O,어서,O,못,O,배우,O,ㄴ,O,게,O,늘,O,아쉽,O,었,O,어,O,.,O,언제나,O,부드럽,O,ㄴ,O,소리,O,가,O,듣,O,고,O,싶,O,었,O,거든,O,.,O,,,,,,,,,,
젊,O,었,O,을,O,때,O,친구,B-KEY,따라,O,한두,O,번,O,서울,O,미술관,B-KEY,에,O,간,O,적,O,있,O,었,O,"는데,",O,그때,O,본,O,수묵화,B-KEY,가,O,참,O,인상,O,깊,O,었,O,어.,O,자연,O,풍경,O,이,O,마음,O,에,O,오래,O,남,O,았,O,지.,O,,,,,,,,,,
결혼식,O,때,O,사진사,O,불러,O,가족,B-KEY,사진,B-KEY,찍,O,었,O,는데,O,",",O,그날,O,웃음,B-KEY,과,O,눈물,B-KEY,이,O,담겨서,O,보물,O,같,O,은,O,기억,O,이,O,됐,O,어,O,.,O,손주,O,들,O,과,O,도,O,가끔,O,그,O,사진,O,보,O,곤,O,하지,O,.,O,,,,,,,,
별,O,이,O,빛,O,나,O,는,O,밤,O,에,O,DJ,B-KEY,최,O,백,O,호,O,씨,O,목소리,B-KEY,가,O,참,O,따뜻,O,해서,O,밤,B-KEY,마다,O,꼭,O,들,O,었,O,지,O,.,O,그,O,때,O,듣,O,던,O,사연,B-KEY,과,O,음악,B-KEY,이,O,아직,O,도,O,기억,O,나,O,.,O,,,,
남진,O,씨,O,가슴,O,아프,O,게,O,들으며,O,젊,O,은,O,시절,O,사랑,B-KEY,했,O,던,O,기억,O,이,O,떠올라,O,눈물,B-KEY,이,O,핑,O,돌,O,았,O,던,O,적,O,이,O,있,O,어,O,.,O,감정,O,이,O,참,O,깊,O,게,O,와,O,닿,O,았,O,지,O,.,O,,,,,,
젊,O,을,O,때,O,는,O,기타,B-KEY,배우,O,고,O,싶,O,었,O,는데,,",",O,시간,O,도,O,없,O,고,O,기회,O,가,O,없,O,어서,O,못,O,배운,O,게,O,아쉬워,O,.,O,노래,B-KEY,부르,O,면서,O,직접,O,연주,B-KEY,하,O,면,O,참,O,좋,O,았,O,을,O,텐데,O,말,O,이야,O,.,O
어리,O,ㄹ,O,적,O,엔,O,꽃,B-KEY,이,O,나,O,나무,B-KEY,",",O,동물,B-KEY,그림,B-KEY,그리,O,는,O,걸,O,좋아하,O,았,O,어,O,.,O,색,O,연필,O,로,O,천천히,O,색칠,O,하,O,며,O,마음,O,이,O,편안,O,해지,O,곤,O,하,O,았,O,지,O,.,O,,,,,,,,,,
