잠들,B-KEY,기,O,전,O,오늘,O,도,O,무사,B-KEY,했,O,구나,O,중얼거릴,B-KEY,수,O,있,O,는,O,하루,O,면,O,충분,O,해요,O,.,O,,,,,,,,,,,,,,,,
전원,O,일기,O,에서,O,서로,O,다투,B-KEY,고,O,도,O,결국,O,함께,O,밥,B-KEY,먹,O,는,O,모습,O,에,O,눈물,O,났,O,어요,O,.,O,,,,,,,,,,,,,,
책,B-KEY,쓰는,O,꿈,B-KEY,이,O,요,O,.,O,아이,O,들,O,키우,O,며,O,접,O,었,O,지만,O,",",O,아,O,직,O,노트,B-KEY,에,O,낙서,B-KEY,로,O,남,O,아,O,있,O,어요,O,.,O
나,O,보다,O,약,B-KEY,한,I-KEY,사람,I-KEY,한테,O,는,O,반드시,O,먼저,O,손,O,내밀,O,라는,O,말,O,을,O,자주,O,했,O,어요,O,.,O,,,,,,,,,,,,,,
남편,B-KEY,수술,B-KEY,날,O,",",O,아무,O,일,O,도,O,당연,O,하,O,지,O,않,O,다는,O,걸,O,처음,O,느꼈,O,어요,O,.,O,,,,,,,,,,,,,,,,
이해,B-KEY,요,O,.,O,이해,B-KEY,없,O,인,O,사랑,B-KEY,도,O,용서,B-KEY,도,O,깊이,O,뿌리,O,내리,O,지,O,못,O,하,O,더라고,O,요,O,.,O,,,,,,,,,,,,
아버지,B-KEY,가,O,된장국,B-KEY,한,O,숟갈,O,먼저,O,뜨,O,"면,",O,모두,O,따라,O,먹,O,던,O,조용,O,하,O,ㄴ,O,식탁,B-KEY,이,O,떠오르,O,아요.,O,,,,,,,,,,,,
보리차,B-KEY,한,O,잔,O,넘기고,O,",",O,도시락,B-KEY,싸,O,는,O,손놀림,O,으로,O,아침,B-KEY,을,O,열,O,었,O,죠,O,,,,,,,,,,,,,,,,,,,,
낮,B-KEY,엔,O,라디오,B-KEY,음악,B-KEY,다방,O,",",O,밤,B-KEY,엔,O,전원,O,일기,O,를,O,틀,O,어,O,놓,O,고,O,바느질,B-KEY,했,O,어요,O,.,O,,,,,,,,,,,,
골목,B-KEY,길,O,따라,O,정자,B-KEY,까지,O,천천히,O,걷,O,던,O,아침,B-KEY,산책,B-KEY,이,O,습관,O,이,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
