힐링,B-KEY,을,O,위해,O,떠나,O,ㄴ,O,여행,B-KEY,에서,O,함께,O,이야기,O,를,O,나누,O,었,O,던,O,친구,B-KEY,들,O,이,O,내,O,게,O,소중,O,하,O,ㄴ,O,경험,O,이,O,되,O,었,O,어요,O,.,O,요즘,O,도,O,가끔씩,O,만나,O,어서,O,커피,O,한,O,잔,O,하,O,ㄴ답니다,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일,O,이,O,잘,O,안,O,풀,O,리,O,었,O,을,O,때,O,동네,B-KEY,산,B-KEY,에,O,올라,O,서,O,일출,B-KEY,을,O,봤,O,는데,O,",",O,추운,O,공기,O,속,O,에서,O,사람,O,들,O,이,O,옹기종기,O,모,O,여,O,소원,O,을,O,비,O,는,O,모습,O,이,O,",",O,내,O,소원,O,도,O,이루,O,어,O,질,O,것,O,같,O,다는,O,생각,O,을,O,하,O,게,O,만들,O,었,O,습니다,O,.,O
우리,O,가족,B-KEY,모두,O,가,O,함께,O,계곡,B-KEY,여행,B-KEY,을,O,가,O,서,O,찍,O,었,O,던,O,사진,B-KEY,이,O,가장,O,기억,O,에,O,남,O,네요,O,.,O,손자,B-KEY,가,O,손녀,B-KEY,랑,O,서로,O,장난,O,치,O,느라,O,자빠지,O,는,O,모습,O,이,O,고대로,O,실려,O,있,O,답니다,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강릉,O,바다,B-KEY,에서,O,파도,B-KEY,소리,O,듣,O,으며,O,커피,O,마시,O,려,O,했,O,는데,O,",",O,비,B-KEY,가,O,하루,O,종일,O,오,O,아서,O,펜션,B-KEY,창,B-KEY,밖,O,만,O,보,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주,O,여행,B-KEY,을,O,하,O,던,O,중,O,원래,O,가려,O,던,O,길,O,이,O,아닌,O,길,O,로,O,들어가,O,게,O,되,O,었,O,는데,O,",",O,그곳,O,에서,O,예쁜,O,소품,B-KEY,샵,B-KEY,을,O,발견,O,하,O,았,O,습니다,O,.,O,그리고,O,거기,O,서,O,사진,B-KEY,도,O,많이,O,찍,O,고,O,",",O,예쁜,O,카페,B-KEY,에서,O,차,O,한,O,잔,O,의,O,여유,O,도,O,즐기,O,었,O,지요,O,.,O
속,O,촬,O,해,O,본,O,에서,O,아이,B-KEY,들,O,이,O,모래,B-KEY,성,B-KEY,만,O,들,O,던,O,모습,O,바람,O,에,O,휘,O,날,O,리,O,는,O,스카프,B-KEY,까지,O,또렷,O,해,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중,O,3,O,여름,B-KEY,",",O,교복,B-KEY,위,O,에,O,앞치마,B-KEY,두르,O,고,O,학교,O,텃밭,B-KEY,에서,O,수박,B-KEY,훔치,O,어,O,먹,O,던,O,기억,O,이,O,아직,O,도,O,생생,O,해요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,O,역,B-KEY,대,O,합실,O,에서,O,마주,O,쳤,O,"는데,",O,교복,B-KEY,입,O,고,O,수학,B-KEY,여행,I-KEY,가,O,던,O,그,O,얼굴,O,그대로,O,였,O,어요.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둘째,O,이사,B-KEY,하,O,던,O,"날,",O,무거운,O,짐,B-KEY,혼자,O,들,O,던,O,남편,B-KEY,모습,O,에,O,마음,O,이,O,찡했,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소식,O,없이,O,도,O,생일,B-KEY,엔,O,꼭,O,전화,B-KEY,해,O,주,O,는,O,친구,B-KEY,가,O,가장,O,오래,O,가,O,더,O,라고,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
