늘,O,흔들리,O,지,O,않,O,고,O,한결같이,O,가족,B-KEY,을,O,지켜,B-KEY,온,O,점,O,이,O,제일,O,자랑,B-KEY,스러워,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
젊,B-KEY,었,O,을,O,때,O,는,O,자신,B-KEY,감,I-KEY,이,O,있,O,었,O,지만,O,",",O,아이,B-KEY,키우,O,며,O,힘들,O,때,O,는,O,자존,O,감,O,이,O,많이,O,흔들,O,렸,O,던,O,것,O,같,O,아요,O,.,O,시간,O,이,O,지나,O,면서,O,다시,O,회복,O,했,O,죠,O,.,O,,
너무,O,서두르,O,지,O,말,O,고,O,",",O,실패,B-KEY,하,O,어,O,도,O,괜찮,B-KEY,으니,O,꾸준,B-KEY,히,O,한,O,걸음,O,씩,O,걸,O,어,O,가,O,렴,O,.,O,네,O,가,O,생각,O,하,O,는,O,것,O,보다,O,훨씬,O,강하,O,단,O,다,O,.,O,,,,,,,,,,
가족,B-KEY,과,O,다툴,B-KEY,때,O,화,O,가,O,나,O,서,O,거친,B-KEY,말,I-KEY,을,O,했,O,는데,O,",",O,나중,O,에,O,상처,O,준,O,걸,O,알,O,고,O,후회,O,했,O,어요,O,.,O,이후,O,감정,O,을,O,조절,O,하,O,려,O,애쓰,O,고,O,있,O,죠,O,.,O,,,,,,
아이,B-KEY,들,O,키우,B-KEY,며,O,힘든,B-KEY,일,I-KEY,많,O,았,O,던,O,시기,O,에,O,스스로,O,잘,O,버텼,O,다고,O,다,O,독였,O,어요,O,매일,O,매,O,순간,O,이,O,쉽,O,지,O,않,O,았,O,지만,O,포기,O,하,O,지,O,않,O,았,O,으니까,O,요,O,,,,,,,,,,
제,O,가,O,고집,B-KEY,이,O,세,O,서,O,가족,B-KEY,과,O,의견,B-KEY,충돌,B-KEY,이,O,있,O,었,O,어요,O,.,O,그,O,때,O,는,O,서로,O,상처,O,받,O,았,O,지만,O,",",O,시간,O,이,O,지나,O,이해,O,하,O,고,O,화해,O,할,O,수,O,있,O,었,O,죠,O,.,O,,,,
아이,B-KEY,들,O,이,O,힘들,B-KEY,때,O,마다,O,지치,O,지,O,않,O,고,O,끝,O,까지,O,곁,B-KEY,을,O,지켜,O,준,O,제,O,자신,B-KEY,을,O,가장,O,많이,O,칭찬,O,하,O,고,O,싶,O,어요,O,.,O,그,O,덕분,O,에,O,가족,O,이,O,더,O,단단,O,해,O,졌,O,거든,O,요,O,.,O
동네,B-KEY,친구,B-KEY,들,O,과,O,술래잡,B-KEY,기,I-KEY,하,,며,O,뛰,O,어,O,노,O,는,O,걸,O,가장,O,좋,O,아,O,했,O,어요,O,.,O,그,O,때,O,의,O,자유,O,롭,O,고,O,신나,O,는,O,시간,O,이,O,오래,O,도록,O,기억,O,에,O,남,O,아요,O,.,O,,,,,,
학교,B-KEY,에서,O,돌아오,O,면,O,먼저,O,집안,B-KEY,일,I-KEY,을,O,조금,O,돕,O,고,O,",",O,조용히,O,책,B-KEY,을,O,읽,O,거나,O,손뜨개,B-KEY,를,O,하,O,며,O,마음,O,을,O,가라앉히,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
혼자,B-KEY,있,,을,O,때,O,는,O,책,B-KEY,을,O,읽,O,거나,O,창,O,밖,O,을,O,바라보,O,며,O,상상,B-KEY,에,O,잠기,O,곤,O,했,O,어요,O,.,O,그,O,시간,O,이,O,마음,O,을,O,정리,O,하,O,는,O,소중,O,한,O,시간,O,이,O,었,O,죠,O,.,O,,,,,,
