학교,B-KEY,생활,O,에,O,대해서,O,는,O,엄하,O,시,O,었,O,지만,O,학생,O,들,O,개개,O,인,O,을,O,기억,O,하,O,고,O,챙겨,O,주,O,시ㄴ,O,담임,O,선생님,B-KEY,들,O,이,O,감사,B-KEY,하,O,았,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중학교,B-KEY,담임,O,선생님,B-KEY,께서,O,항상,O,인사,B-KEY,해,O,주,O,어서,O,고맙,O,다고,O,말씀,O,하,O,시,O,었,O,는데,O,그,O,때,O,부터,O,지금,O,까지,O,어른,O,에,O,대하,O,ㄴ,O,예의,O,를,O,강조,O,하,O,며,O,살,O,았,O,던,O,거,O,같,O,아요,O,저,O,한테,O,당연,O,하,O,았,O,던,O,부분,O,이,O,감사,O,인사,O,를,O,받,O,을,O,정도,O,라는,O,것,O,에,O,조금,O,충격,O,이,O,었,O,거든,O,요,O
육아,B-KEY,를,O,하,O,면서,O,아이,O,를,O,타이,B-KEY,를,I-KEY,때,O,나오,O,는,O,표정,B-KEY,이,O,어렸,O,을,O,적,O,수업,O,하,O,시,O,던,O,선생님,O,들,O,의,O,표정,O,과,O,닮,O,았,O,음,O,을,O,알,O,았,O,어요.,O,무언가,O,가르치,O,는,O,표정,O,이,O,랄까,O,요.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지금,O,까지,O,도,O,연락,O,하는,O,친구,B-KEY,인데,O,서로,O,의,O,어머니,O,와,O,도,O,친해,O,서,O,학교,O,끝나,O,면,O,친구,B-KEY,집,I-KEY,에,O,가,O,서,O,같이,O,놀,O,거나,O,숙제,O,하는,O,것,O,이,O,일상,O,이,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고등학교,B-KEY,동창,B-KEY,중,O,에,O,정말,O,예쁜,B-KEY,사람,O,이,O,하나,O,있,O,었,O,는데,O,학생,O,때,O,는,O,많이,O,부러워,O,했,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
딱히,O,없,B-KEY,어요,I-KEY,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수학,B-KEY,문제,B-KEY,풀이,O,를,O,틀리,B-KEY,고,O,친구,O,들,O,앞,O,에서,O,울,O,었,O,던,O,기억,O,이,O,나,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고등학교,B-KEY,때,O,수학,B-KEY,이,O,너무,O,어려워서,O,울먹,B-KEY,였,O,는데,O,",",O,담임,O,선생님,O,이,O,너,O,는,O,포기,O,안,O,해서,O,예쁘,O,다,O,하,O,시,O,었,O,던,O,게,O,아직도,O,기억,O,나,O,요,O,.,O,그,O,말,O,에,O,힘,O,이,O,났,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비,B-KEY,오는,O,날,O,",",O,이불,B-KEY,속,O,에서,O,그냥,O,라디오,B-KEY,들,O,으며,O,하루,O,종일,O,있,O,고,O,싶,O,다,O,그런,O,생각,O,자주,O,했,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
친구,B-KEY,들,O,이,O,랑,O,몰래,O,도시락,B-KEY,싸,O,다가,O,냇,B-KEY,가,I-KEY,에,O,놀,O,러,O,가,O,았,O,다가,O,들켜,O,서,O,혼,O,난,O,일,O,이,O,아직,O,도,O,생생,O,해,O,요,O,그래도,O,참,O,즐거웠,O,죠,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
