겨울,B-KEY,경복궁,O,을,O,좋아하,O,아요,O,.,O,눈,B-KEY,쌓,O,은,O,경복궁,O,에서,O,한복,O,입,O,고,O,찍,O,은,O,사진,B-KEY,이,O,있,O,는데,O,마음,O,에,O,들,O,었,O,거든,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,과,O,결혼,B-KEY,을,O,결심,B-KEY,한,O,거,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이,B-KEY,들,O,이,O,대학교,B-KEY,다니,O,기,O,시작,O,하,O,면서,O,스스로,O,를,O,돌아보,O,는,O,여유,O,가,O,생겨,O,그런,O,생각,O,을,O,했,O,던,O,것,O,같,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부모,B-KEY,님,O,기일,B-KEY,때,O,면,O,한,O,번,O,이,O,라도,O,뵙,O,고,O,싶,O,어서,O,눈물,O,이,O,나,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어머니,B-KEY,요,O,.,O,제,O,가,O,엄마,O,로,O,살,O,아,O,보,O,니,O,정말,O,소중,B-KEY,하,O,고,O,감사,B-KEY,한,O,사람,O,이,O,구나,O,를,O,크,O,게,O,느꼈,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아무래도,O,딸,B-KEY,이,O,태어나,B-KEY,았을,O,때,O,죠,O,.,O,책임,B-KEY,감,O,이,O,크,O,게,O,생기,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아들,B-KEY,이,O,금전,O,적,O,부담,O,으로,O,대학,B-KEY,진학,O,을,O,포기,B-KEY,하,O,려고,O,했,O,을,O,때,O,단호,O,하,O,게,O,지원,O,을,O,약속,O,했,O,어요,O,.,O,지금,O,도,O,후회,O,없,O,고,O,그때,O,의,O,나,O,를,O,칭찬,O,해,O,주,O,고,O,싶,O,어요,O,.,O
어머니,B-KEY,께서,O,쓰,O,시,O,던,O,작,O,은,O,책상,B-KEY,이,O,있,O,는데,O,가계부,B-KEY,작성,O,하,O,시,O,던,O,모습,O,이,O,아직,O,도,O,생생,O,하,O,아서,O,못,O,버리,O,고,O,제,O,방,O,에서,O,쓰,O,고,O,있,O,어요,O,.,O,,,,,,,,,,,,
제,O,가,O,만두,B-KEY,를,O,정말,O,좋,O,아,O,해요,O,.,O,가족,O,들,O,도,O,그,O,걸,O,알,O,아서,O,제,O,생일,B-KEY,때,O,는,O,항상,O,맛있,O,는,O,만두,B-KEY,집,I-KEY,에,O,가요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
70,B-KEY,이,O,넘,O,으면서,O,제,O,마지막,B-KEY,순간,O,을,O,떠올리,O,게,O,되,O,더라구요,O,.,O,대부분,O,병원,B-KEY,침대,B-KEY,에,O,눕,O,어,O,가족,O,들,O,과,O,마지막,O,인사,O,를,O,하,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
