소풍,B-KEY,가서,O,친구,B-KEY,들,O,이,O,랑,O,나눠,O,먹,O,던,O,과자,B-KEY,랑,O,웃음,B-KEY,소리,O,가,O,아직,O,도,O,마음,O,한켠,O,에,O,따뜻,O,하,O,게,O,남,O,아,O,있,O,어요,O,.,O,,,,,,,,,,,,,,
졸업식,B-KEY,때,O,선생님,B-KEY,이,O,한,O,말씀,B-KEY,해,O,주,O,시,O,었,O,"는데,",O,그,O,말,O,에,O,눈물,B-KEY,이,O,핑,O,돌,O,았,O,어요.,O,설레,O,면서,O,도,O,조금,O,은,O,아쉬운,O,마음,O,이,O,었,O,죠.,O,,,,,,,,
어리,O,ㄹ,O,때,O,는,O,선생님,B-KEY,이,O,되,O,고,O,싶,O,어요,O,.,O,아이,B-KEY,들,O,가르치,B-KEY,는,O,게,O,좋,O,아서,O,그런,O,지,O,막연히,O,그런,O,생각,O,을,O,했,O,었,O,죠,O,.,O,,,,,,,,,,,,
국어,B-KEY,과목,O,을,O,좋아,O,하,O,았,O,어요,O,.,O,글,B-KEY,읽,O,고,O,이야기,B-KEY,를,O,나누,O,는,O,게,O,재미있,O,고,O,마음,O,이,O,편안,O,해졌,O,거든,O,요,O,.,O,,,,,,,,,,,,,,,,,,
한,O,번,O,은,O,글짓기,B-KEY,대회,B-KEY,에서,O,상,B-KEY,을,O,받,O,아서,O,선생님,O,이,O,칭찬,O,해,O,주,O,시,O,었,O,던,O,기억,O,이,O,나,O,요,O,.,O,정말,O,뿌듯,O,했,O,죠,O,.,O,,,,,,,,,,,,
고향,B-KEY,의,O,봄,B-KEY,이,O,란,O,노래,O,가,O,아직,O,도,O,기억,O,나,O,요,O,.,O,다,O,같이,O,손,O,잡,O,고,O,부르,O,던,O,그,O,순간,O,이,O,참,O,따뜻,O,했,O,죠,O,.,O,,,,,,,,,,,,
수학,B-KEY,시험,B-KEY,을,O,보,O,는데,O,긴장,B-KEY,하,O,어서,O,문제지,O,를,O,잘못,O,읽,O,고,O,틀리,O,ㄴ,O,답,O,이,O,많,O,았,O,"는데,",O,그때,O,참,O,속상,O,하,O,았,O,었,O,죠.,O,그래도,O,다시,O,마음,O,다,O,잡,O,았,O,어요.,O
수학,B-KEY,을,O,좀,O,더,O,열심히,O,하,O,여,O,보,O,고,O,싶,O,어요,O,.,O,그,O,땐,O,어려워서,O,포기,O,했,O,는데,O,",",O,다시,O,하,O,면,O,좀,O,더,O,재미있,O,을,O,것,O,같,O,아요,O,.,O,,,,,,,,
공부,B-KEY,도,O,중요,O,하지만,O,",",O,무엇,O,보다,O,꾸준히,O,최선,B-KEY,을,O,다,O,하,O,는,O,마음,O,을,O,가지,O,렴,O,이,O,라고,O,자주,O,말,O,해,O,줬,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
네,O,",",O,학교,B-KEY,까지,O,걸어서,O,다녔,O,어요,O,.,O,가,O,는,O,길,B-KEY,에,O,할머니,B-KEY,들,O,이,O,랑,O,인사,B-KEY,하,O,고,O,지나가,O,는,O,게,O,소소,O,한,O,즐거움,O,이,O,었,O,죠,O,.,O,,,,,,,,,,
