참을성,B-KEY,있,O,고,O,끝,O,까지,O,해내,O,려,O,는,O,마음,O,이,O,저,O,의,O,가장,O,큰,O,장점,B-KEY,이,O,라고,O,생각,O,해,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
힘들,O,때,O,남편,B-KEY,이,O,조용,O,히,O,옆,B-KEY,에,O,있,O,어,O,주,O,며,O,괜찮,O,"아,",O,함께,B-KEY,이겨내,O,자고,O,말,O,해,O,준,O,게,O,큰,O,위로,B-KEY,였,O,어요.,O,,,,,,,,,,,,,,,,
가만,O,히,O,앉,O,아,O,깊,O,게,O,숨,B-KEY,쉬,O,며,O,내,O,가,O,할,O,수,O,있,O,다고,O,스스로,O,다독,B-KEY,였,O,어요,O,.,O,그리고,O,남편,B-KEY,과,O,차분,O,히,O,이야기,B-KEY,했,O,죠,O,.,O,,,,,,,,
창,O,밖,O,에,O,비,B-KEY,오,O,는,O,소리,B-KEY,를,O,듣,O,으며,O,옛,O,노래,B-KEY,를,O,들,O,으면,O,마음,O,이,O,한결,O,편안,O,해,O,졌,O,어요,O,.,O,자연,B-KEY,과,O,음악,B-KEY,이,O,크,O,ㄴ,O,위로,O,였,O,죠,O,.,O
"네,",O,가족,B-KEY,과,O,친구,B-KEY,들,O,이,O,어려울,O,때,O,제,O,게,O,자주,O,이야기,B-KEY,를,O,털,O,어,O,놓,O,곤,O,했,O,어요.,O,믿음,O,직,O,한,O,편,O,이,O,었,O,나,O,봐,O,요.,O,,,,,,,,,,
남편,B-KEY,이,O,었,O,어요,O,.,O,늘,O,변함,O,없이,O,제,O,곁,B-KEY,을,O,지켜,O,주,O,고,O,",",O,조용히,O,힘,B-KEY,이,O,되,O,어,O,줬,O,기,O,때문,O,이에요,O,.,O,,,,,,,,,,,,,,,,
아이,B-KEY,들,O,키우,B-KEY,고,O,어려운,O,일,O,겪,O,으며,O,내,O,가,O,더,O,강해지,O,고,O,넓,O,어진,O,걸,O,느꼈,O,을,O,때,O,였,O,어요,O,.,O,그,O,경험,B-KEY,이,O,저,O,를,O,많이,O,성장,B-KEY,시키,O,었,O,죠,O,.,O
네,O,",",O,남,B-KEY,을,O,실망,B-KEY,시키,O,기,O,싫,O,어서,O,거절,B-KEY,하,O,기,O,어려운,O,경우,O,가,O,많,O,았,O,어요,O,.,O,하지만,O,점점,O,조심,O,스러워,O,졌,O,죠,O,.,O,,,,,,,,,,,,,,
가끔,O,은,O,기대,B-KEY,했,O,던,O,만큼,O,마음,B-KEY,이,O,돌아,O,오,O,지,O,않,O,아,O,속상,B-KEY,할,O,때,O,도,O,있,O,었,O,"지만,",O,크,O,게,O,다치,O,지,O,않,O,았,O,어요.,O,잘,O,이겨,O,냈,O,죠.,O,,,,
네,O,",",O,감정,B-KEY,을,O,솔직히,O,드러내,O,기,O,보다,O,는,O,속,B-KEY,으로,O,삭,O,이,O,는,O,편,O,이,O,었,O,어요,O,.,O,그,O,게,O,때론,O,아쉬웠,O,죠,O,.,O,,,,,,,,,,,,,,,,
